login,SUM de gist_difference_at,AVERAGE de gist_difference_at,SUM de history_changes,AVERAGE de history_changes
boceckts,1098,"156,8571429",7,1
chelseyong,0,0,1,1
davidemdot,0,0,1,1
egonw,597,"5,97",189,"1,89"
hakova,0,0,1,1
halirutan,357,"11,51612903",46,"1,483870968"
igorsteinmacher,800,400,11,"5,5"
IngvarJackal,173,"19,22222222",18,2
jtornero,8676,"188,6086957",67,"1,456521739"
KOLANICH,232,"33,14285714",16,"2,285714286"
koppor,4,1,6,"1,5"
LinusDietz,0,0,2,2
matthiasgeiger,556,556,1,1
NicosPavlov,717,717,2,2
olenz,561,561,3,3
Siedlerchr,1176,"117,6",19,"1,9"
simonharrer,28822,"929,7419355",70,"2,258064516"
solrex,0,0,1,1
stefan-kolb,494,247,3,"1,5"
tobiasdiez,0,0,2,2
tolot27,0,0,3,3
wpoely86,5413,"360,8666667",23,"1,533333333"
Total geral,49676,"181,2992701",492,"1,795620438"